01/06/2018 11:30:00: 6453,7
01/06/2018 11:35:00: 6439
01/06/2018 11:40:00: 6453,4
01/06/2018 11:45:00: 6452,1
01/06/2018 11:50:00: 6458,6
01/06/2018 11:55:00: 6440,1
01/06/2018 12:00:00: 6441
01/06/2018 12:05:00: 6443
01/06/2018 12:10:00: 6449,8
01/06/2018 12:15:00: 6451,5
01/06/2018 12:20:00: 6448,2
01/06/2018 12:25:00: 6446
01/06/2018 12:30:00: 6448,2
01/06/2018 12:35:00: 6438,5
01/06/2018 12:40:00: 6440,4
01/06/2018 12:45:00: 6443,5
01/06/2018 12:50:00: 6447,9
01/06/2018 12:55:00: 6446,6
01/06/2018 13:00:00: 6453,9
01/06/2018 13:05:00: 6455
01/06/2018 13:10:00: 6455
01/06/2018 13:15:00: 6459
01/06/2018 13:20:00: 6459
01/06/2018 13:25:00: 6463
01/06/2018 13:30:00: 6461,2
01/06/2018 13:35:00: 6460,1
01/06/2018 13:40:00: 6446,2
01/06/2018 13:45:00: 6451,7
01/06/2018 13:50:00: 6342,6
01/06/2018 13:55:00: 6304
01/06/2018 14:00:00: 6329,9
01/06/2018 14:05:00: 6344,6
01/06/2018 14:10:00: 6341,8
01/06/2018 14:15:00: 6339,8
01/06/2018 14:20:00: 6349
01/06/2018 14:25:00: 6339,1
01/06/2018 14:30:00: 6339,1
01/06/2018 14:35:00: 6330,2
01/06/2018 14:40:00: 6337,2
01/06/2018 14:45:00: 6339,7
01/06/2018 14:50:00: 6347,8
01/06/2018 14:55:00: 6351
01/06/2018 15:00:00: 6344
01/06/2018 15:05:00: 6349,4
01/06/2018 15:10:00: 6347,2
01/06/2018 15:15:00: 6352,8
01/06/2018 15:20:00: 6361,4
01/06/2018 15:25:00: 6356,8
01/06/2018 15:30:00: 6359
01/06/2018 15:35:00: 6362,3
01/06/2018 15:40:00: 6354,8
01/06/2018 15:45:00: 6354,8
01/06/2018 15:50:00: 6354,7
01/06/2018 15:55:00: 6356,5
01/06/2018 16:00:00: 6357,1
01/06/2018 16:05:00: 6355,2
01/06/2018 16:10:00: 6365,2
01/06/2018 16:15:00: 6370,6
01/06/2018 16:20:00: 6366,6
01/06/2018 16:25:00: 6365,2
01/06/2018 16:30:00: 6377,7
01/06/2018 16:35:00: 6375,9
01/06/2018 16:40:00: 6386,3
01/06/2018 16:45:00: 6370,2
01/06/2018 16:50:00: 6368,7
01/06/2018 16:55:00: 6368,7
01/06/2018 17:00:00: 6359,9
01/06/2018 17:05:00: 6361,1
01/06/2018 17:10:00: 6358,8
01/06/2018 17:15:00: 6349,3
01/06/2018 17:20:00: 6358,4
01/06/2018 17:25:00: 6361,5
01/06/2018 17:30:00: 6361,4
01/06/2018 17:35:00: 6373,2
01/06/2018 17:40:00: 6367,8
01/06/2018 17:45:00: 6367,2
01/06/2018 17:50:00: 6374,6
01/06/2018 17:55:00: 6372,8
01/06/2018 18:00:00: 6380,2
01/06/2018 18:05:00: 6379
01/06/2018 18:10:00: 6377
01/06/2018 18:15:00: 6376,4
01/06/2018 18:20:00: 6376,8
01/06/2018 18:25:00: 6376,3
01/06/2018 18:30:00: 6370,4
01/06/2018 18:35:00: 6365
01/06/2018 18:40:00: 6363,9
01/06/2018 18:45:00: 6364
01/06/2018 18:50:00: 6370,1
01/06/2018 18:55:00: 6372,5
01/06/2018 19:00:00: 6368,2
01/06/2018 19:05:00: 6367,4
01/06/2018 19:10:00: 6368,1
01/06/2018 19:15:00: 6369,7
01/06/2018 19:20:00: 6385,3
01/06/2018 19:25:00: 6386
01/06/2018 19:30:00: 6383,7
01/06/2018 19:35:00: 6387,8
01/06/2018 19:40:00: 6383,5
01/06/2018 19:45:00: 6370,1
01/06/2018 19:50:00: 6356,1
01/06/2018 19:55:00: 6360
01/06/2018 20:00:00: 6365,8
01/06/2018 20:05:00: 6363,9
01/06/2018 20:10:00: 6364,2
01/06/2018 20:15:00: 6362,4
01/06/2018 20:20:00: 6363,3
01/06/2018 20:25:00: 6370
01/06/2018 20:30:00: 6370
01/06/2018 20:35:00: 6350
01/06/2018 20:40:00: 6350
01/06/2018 20:45:00: 6354
01/06/2018 20:50:00: 6336,6
01/06/2018 20:55:00: 6341,8
01/06/2018 21:00:00: 6348,7
01/06/2018 21:05:00: 6354
01/06/2018 21:10:00: 6369,7
01/06/2018 21:15:00: 6372,8
01/06/2018 21:20:00: 6373,5
01/06/2018 21:25:00: 6380,1
01/06/2018 21:30:00: 6381,8
01/06/2018 21:35:00: 6383,9
01/06/2018 21:40:00: 6389,1
01/06/2018 21:45:00: 6385
01/06/2018 21:50:00: 6382,4
01/06/2018 21:55:00: 6378,9
